step;k;mu
750;10;3.65101e-07
1750;10;3.651005e-07
2750;10;3.651005e-07
3750;10;3.651005e-07
4750;10;5.47373e-07
5750;11;5.47634e-07
6750;12;7.3014e-07
7750;12;7.297935e-07
8750;12;7.301765e-07
9750;12;7.29661e-07
10750;12;7.30101e-07
11750;12;9.11567e-07
12750;13;1.093515e-06
13750;13;1.27443e-06
14750;13;1.64284e-06
15750;13;1.63552e-06
16750;13;1.618535e-06
17750;13;1.264625e-06
18750;13;1.081855e-06
19750;13;9.127295e-07
20750;14;1.275505e-06
21750;14;1.45556e-06
22750;15;1.4547e-06
23750;16;1.60815e-06
24750;16;1.094955e-06
25750;16;1.091685e-06
26750;16;1.08807e-06
27750;16;1.770175e-06
28750;17;4.40211e-06
29750;17;6.13928e-06
30750;17;7.29451e-06
31750;17;7.756345e-06
32750;17;8.402065e-06
33750;17;8.989965e-06
34750;17;8.751835e-06
35750;17;8.646015e-06
36750;17;8.52561e-06
37750;17;8.606845e-06
38750;17;6.64855e-06
39750;17;5.25142e-06
40750;17;2.723705e-06
41750;17;1.64164e-06
42750;17;1.546905e-06
43750;17;1.445375e-06
44750;17;1.381175e-06
45750;17;1.094275e-06
46750;17;1.24883e-06
47750;17;1.971905e-06
48750;18;2.70416e-06
49750;18;2.52941e-06
50750;18;2.168645e-06
51750;18;1.80736e-06
52750;18;1.45208e-06
53750;18;1.26696e-06
54750;18;1.264485e-06
55750;18;1.26078e-06
56750;18;9.12033e-07
57750;19;1.08931e-06
58750;19;7.30195e-07
59750;19;7.30169e-07
60750;19;9.08474e-07
61750;19;9.10161e-07
62750;20;1.0424955e-06
63750;20;1.086495e-06
64750;20;8.85943e-07
65750;20;1.451035e-06
66750;21;1.819825e-06
67750;21;2.164445e-06
68750;21;1.99378e-06
69750;21;1.990875e-06
70750;21;2.07237e-06
71750;21;1.989995e-06
72750;21;1.625655e-06
73750;21;1.08087e-06
74750;21;7.29809e-07
75750;21;7.23802e-07
76750;21;7.07934e-07
77750;21;5.46699e-07
78750;22;7.244655e-07
79750;22;6.730715e-07
80750;22;5.376225e-07
81750;23;5.47452e-07
82750;24;5.47166e-07
83750;25;5.476175e-07
84750;26;9.109975e-07
85750;27;7.300845e-07
86750;27;3.65096e-07
87750;27;3.65094e-07
88750;27;3.6509e-07
89750;27;3.65092e-07
90750;27;6.92405e-07
91750;28;5.45906e-07
92750;29;3.190845e-06
93750;30;6.551145e-06
94750;30;9.105875e-06
95750;30;9.657425e-06
96750;30;9.83802e-06
97750;30;1.013975e-05
98750;30;1.038325e-05
99750;30;1.03223e-05
100750;30;1.02388e-05
101750;30;1.01557e-05
102750;30;1.00754e-05
103750;30;9.99365e-06
104750;30;9.919335e-06
105750;30;9.83594e-06
106750;30;9.757155e-06
107750;30;9.68503e-06
108750;30;9.619055e-06
109750;30;9.56485e-06
110750;30;1.0695945e-06
111750;29;7.187845e-07
112750;29;7.186675e-07
113750;29;5.418305e-07
114750;30;7.185285e-07
115750;30;3.65101e-07
116750;30;5.41791e-07
117750;31;5.32659e-07
118750;32;3.65101e-07
119750;32;3.65101e-07
120750;32;9.125515e-07
121750;33;1.09026e-06
122750;33;1.082885e-06
123750;33;1.076645e-06
124750;33;1.070495e-06
125750;33;1.06914e-06
126750;33;1.068305e-06
127750;33;1.08141e-06
