step;k;mu
1250;10;3.65101e-07
3250;10;3.651005e-07
5250;10;3.651005e-07
7250;32;1.09443e-06
9250;37;1.095215e-06
11250;37;1.093995e-06
13250;37;1.09005e-06
15250;27;7.300195e-07
17250;35.5;7.290265e-07
19250;44;1.02382e-06
21250;71;7.4335e-06
23250;76;8.073125e-06
25250;78.5;8.898595e-06
27250;80;8.798505e-06
29250;82;8.78999e-06
31250;82.5;5.001765e-06
33250;78;1.09355e-06
35250;83;9.108205e-07
37250;83.5;7.29903e-07
39250;95.5;1.0951525e-06
41250;108.5;3.93367e-06
43250;119.5;2.682715e-06
45250;113;2.690815e-06
47250;111.5;3.05164e-06
49250;102.5;9.099e-07
51250;104;1.09171e-06
53250;104;7.299155e-07
55250;90.5;7.301515e-07
57250;82;7.300735e-07
59250;82;9.114945e-07
61250;89;1.45203e-06
63250;84;9.062995e-07
65250;82.5;1.81763e-06
67250;91;2.726835e-06
69250;93;2.528185e-06
71250;95;2.52369e-06
73250;91;1.079776e-06
75250;90;7.29199e-07
77250;94;5.4731e-07
79250;95.5;9.12732e-07
81250;85;5.44263e-07
83250;93.5;1.0950805e-06
85250;115.5;7.296265e-07
87250;125.5;1.275095e-06
89250;129.5;1.76233e-06
91250;119;3.30725e-06
93250;140.5;8.995585e-06
95250;144;1.0214e-05
97250;144.5;1.03477e-05
99250;145;1.021875e-05
101250;145;1.00629e-05
103250;145;9.90278e-06
105250;145;9.73254e-06
107250;145;9.575825e-06
109250;125;5.45548e-07
111250;125;3.65101e-07
113250;125;5.47626e-07
115250;131.5;1.094295e-06
117250;129;1.09226e-06
119250;119;7.24693e-07
121250;95;1.277503e-06
123250;76;9.12522e-07
125250;88;1.09487e-06
127250;85;1.094935e-06
129250;85;1.09494e-06
131250;95;9.123525e-07
133250;93.5;6.71638e-07
135250;109;7.30187e-07
137250;117.5;7.246885e-07
139250;134;7.14658e-07
141250;142;7.301635e-07
143250;142;7.30105e-07
145250;142;7.30175e-07
147250;142;7.300555e-07
149250;183;4.729335e-06
151250;179;3.08521e-06
153250;179.5;1.25518e-06
155250;160.5;7.133215e-07
157250;167.5;1.08178e-06
159250;136;1.07017e-06
161250;136;1.06724e-06
163250;127;7.301865e-07
165250;122.5;7.262105e-07
167250;118;5.434105e-07
169250;131.5;3.368695e-06
171250;151.5;3.89826e-06
173250;128;3.650985e-07
175250;128;3.65097e-07
177250;128;3.65099e-07
179250;128;3.650975e-07
181250;128;3.650975e-07
183250;128;5.475925e-07
185250;124.5;1.272995e-06
187250;128;1.09519e-06
189250;135;1.27354e-06
191250;125;7.30162e-07
193250;116.5;7.299295e-07
195250;108;7.29457e-07
197250;108;7.29697e-07
199250;108;7.288055e-07
201250;108;7.281115e-07
203250;108;7.286485e-07
205250;108;7.28649e-07
207250;116.5;7.280035e-07
209250;125;7.290415e-07
211250;142;1.638505e-06
213250;138.5;2.005665e-06
215250;128.5;7.182495e-07
217250;123.5;7.337195e-06
219250;124.5;6.41363e-06
221250;71.5;7.289845e-07
223250;64;3.651e-07
225250;56;3.651e-07
227250;64.5;7.28543e-07
229250;73;7.30175e-07
231250;78;9.124585e-07
233250;104.5;2.3505e-06
235250;96.5;9.950225e-07
237250;87.5;3.650785e-07
239250;79;3.650985e-07
241250;70.5;3.650995e-07
243250;72;2.05985e-06
245250;82;2.511285e-06
247250;78;1.3958e-06
249250;76.5;3.650975e-07
251250;68;3.650965e-07
253250;68;3.65098e-07
255250;85;5.472345e-07
257250;107;4.680945e-06
259250;106;7.15961e-07
261250;82.5;7.22298e-07
263250;73;7.11671e-07
265250;73.5;1.3930805e-06
267250;86.5;4.535695e-06
269250;90.5;4.425765e-06
271250;91;4.365055e-06
273250;91;4.346405e-06
275250;91;4.30554e-06
277250;91;3.8178e-06
279250;52.5;4.51363e-07
281250;54;5.47642e-07
283250;76.5;4.199805e-06
285250;86;6.207145e-06
287250;94;8.59102e-06
289250;97.5;9.43351e-06
291250;97.5;7.663715e-06
293250;92;6.18641e-06
295250;82;3.64991e-07
297250;82;5.46401e-07
299250;113;5.463645e-07
301250;144;3.64687e-07
303250;144;3.64536e-07
305250;144;3.643395e-07
307250;144;3.633435e-07
309250;144;3.613285e-07
311250;144;3.58619e-07
313250;144;3.572615e-07
315250;144;3.566635e-07
317250;144;3.5653e-07
319250;144;3.563975e-07
321250;144;3.549765e-07
323250;143.5;3.30852e-07
325000;141;1.16838e-07
