step;k;mu
750;10;1.64185e-06
1750;10;1.64185e-06
2750;10;1.64185e-06
3750;10;2.462595e-06
4750;12;4.84679e-06
5750;14;6.64856e-06
6750;15;7.901525e-06
7750;15;7.62637e-06
8750;16;7.27835e-06
9750;17;6.499545e-06
10750;17;5.66783e-06
11750;17;4.88094e-06
12750;17;4.18168e-06
13750;18;3.851535e-06
14750;18;3.28075e-06
15750;18;3.173325e-06
16750;18;3.053985e-06
17750;18;2.689755e-06
18750;18;2.185575e-06
19750;19;2.3172e-06
20750;19;1.903605e-06
21750;20;1.64186e-06
22750;20;1.641855e-06
23750;20;1.64185e-06
24750;20;1.64185e-06
25750;20;1.64185e-06
26750;20;1.64185e-06
27750;20;1.64185e-06
28750;20;1.64185e-06
29750;20;1.64185e-06
30750;20;1.64185e-06
31750;20;1.64185e-06
32750;20;1.64185e-06
33750;20;1.64185e-06
34750;20;1.64185e-06
35750;20;1.64185e-06
36750;20;1.64185e-06
37750;20;1.64185e-06
38750;20;1.64185e-06
39750;20;1.64185e-06
40750;20;1.64185e-06
41750;20;1.64185e-06
42750;20;1.64185e-06
43750;20;1.64185e-06
44750;20;1.64185e-06
45750;20;1.64185e-06
46750;20;1.64185e-06
47750;20;1.64185e-06
48750;20;1.64185e-06
49750;20;1.64185e-06
50750;20;1.64185e-06
51750;20;1.64185e-06
52750;20;1.641855e-06
53750;20;1.64185e-06
54750;20;1.641855e-06
55750;20;2.16536e-06
56750;21;2.276305e-06
57750;22;2.925115e-06
58750;22;2.370905e-06
59750;24;3.228185e-06
60750;24;3.12756e-06
61750;24;3.05217e-06
62750;24;2.665475e-06
63750;25;2.494995e-06
64750;27;3.00243e-06
65750;27;3.252555e-06
66750;27;3.248155e-06
67750;27;3.27318e-06
68750;27;3.16883e-06
69750;27;3.109745e-06
70750;27;3.188855e-06
71750;27;3.19688e-06
72750;27;3.266805e-06
73750;27;3.25948e-06
74750;27;3.27588e-06
75750;27;3.17793e-06
76750;27;3.278525e-06
77750;27;3.28024e-06
78750;27;3.251295e-06
79750;27;3.26778e-06
80750;27;3.25538e-06
81750;27;3.250235e-06
82750;27;3.262225e-06
83750;27;3.24929e-06
84750;27;3.274955e-06
85750;27;3.27497e-06
86750;27;3.278565e-06
87750;27;3.277155e-06
88750;27;3.279815e-06
89750;27;3.27702e-06
90750;27;3.280185e-06
91750;27;3.277655e-06
92750;27;3.280625e-06
93750;27;3.28199e-06
94750;27;3.279025e-06
95750;27;3.282105e-06
96750;27;3.28141e-06
97750;27;3.282005e-06
98750;27;3.28274e-06
99750;27;3.281375e-06
100750;27;3.281275e-06
101750;27;3.28253e-06
102750;27;3.283335e-06
103750;27;3.283015e-06
104750;27;3.282915e-06
105750;27;3.283255e-06
106750;27;3.282405e-06
107750;27;3.283045e-06
108750;27;3.281925e-06
109750;27;3.28304e-06
110750;27;3.282965e-06
111750;27;3.282675e-06
112750;27;3.281975e-06
113750;27;3.28285e-06
114750;27;3.283135e-06
115750;27;3.28157e-06
116750;27;3.281805e-06
117750;27;3.283365e-06
118750;27;3.283415e-06
119750;27;3.283235e-06
120750;27;3.283345e-06
121750;27;3.283235e-06
122750;27;3.282605e-06
123750;27;3.28337e-06
124750;27;3.283355e-06
125750;27;3.283515e-06
126750;27;3.28342e-06
127750;27;3.283595e-06
128750;27;3.28358e-06
129750;27;3.339615e-06
130750;27;3.42998e-06
131750;27;3.283555e-06
132750;27;3.3745e-06
133750;27;3.29093e-06
134750;27;3.92563e-06
135750;28;3.68648e-06
136750;29;3.283615e-06
137750;29;3.94633e-06
138750;30;3.63302e-06
139750;30;4.03662e-06
140750;30;3.764565e-06
141750;31;3.89321e-06
142750;32;3.820475e-06
143750;33;4.4075e-06
144750;33;4.34466e-06
145750;33;4.310865e-06
146750;34;4.120025e-06
147750;34;4.539405e-06
148750;34;4.499095e-06
149750;34;4.508715e-06
150750;34;4.589095e-06
151750;34;4.34885e-06
152750;34;4.163165e-06
153750;34;4.337845e-06
154750;34;4.223845e-06
155750;34;4.061485e-06
156750;35;4.50042e-06
157750;35;4.454905e-06
158750;35;4.241115e-06
159750;35;3.91617e-06
160750;35;3.24442e-06
161750;35;3.03459e-06
162750;35;2.68548e-06
163750;35;2.402615e-06
164750;35;2.381865e-06
165750;35;2.266115e-06
166750;35;2.249865e-06
167750;36;2.175115e-06
168750;35;1.64181e-06
169750;35;1.641765e-06
170750;35;1.641595e-06
171750;35;1.64116e-06
172750;35;1.639525e-06
173750;35;1.636175e-06
174750;35;1.633115e-06
175750;35;1.629515e-06
176750;35;1.62546e-06
177750;35;1.622215e-06
178750;35;1.61636e-06
179750;35;1.61131e-06
180750;35;1.591375e-06
181750;35;1.576145e-06
182750;35;1.567805e-06
183750;35;1.51643e-06
184750;35;1.50337e-06
185750;35;1.49146e-06
186750;35;1.399255e-06
187750;35;1.212495e-06
188750;35;1.194235e-06
189750;35;1.190415e-06
190750;35;6.54531e-07
191500;31;-6.21757e-07
