step;k;mu
750;10;1.64185e-06
1750;10;1.64185e-06
2750;10;1.64185e-06
3750;10;1.64185e-06
4750;10;1.64185e-06
5750;10;2.415565e-06
6750;18;4.836285e-06
7750;26;9.257095e-06
8750;30;1.1881e-05
9750;32;1.19659e-05
10750;33;9.17566e-06
11750;32;7.63154e-06
12750;32;6.45826e-06
13750;32;5.14931e-06
14750;31;4.59644e-06
15750;31;4.028645e-06
16750;32;3.283215e-06
17750;32;3.280745e-06
18750;32;3.26004e-06
19750;32;3.129485e-06
20750;32;2.961055e-06
21750;33;2.643305e-06
22750;35;2.562425e-06
23750;36;2.09119e-06
24750;40;1.64186e-06
25750;40;2.007305e-06
26750;45;2.419715e-06
27750;44;1.64186e-06
28750;44;1.64185e-06
29750;44;1.64185e-06
30750;44;1.64185e-06
31750;44;1.64185e-06
32750;44;1.64185e-06
33750;44;1.64185e-06
34750;44;1.64185e-06
35750;44;1.64185e-06
36750;44;1.64185e-06
37750;44;1.64185e-06
38750;44;1.64185e-06
39750;44;1.64185e-06
40750;44;1.64185e-06
41750;44;1.64185e-06
42750;44;1.64185e-06
43750;44;1.64185e-06
44750;44;1.64185e-06
45750;44;1.64185e-06
46750;44;1.64185e-06
47750;44;1.64185e-06
48750;44;1.64185e-06
49750;44;1.64185e-06
50750;44;1.64185e-06
51750;44;1.641855e-06
52750;44;2.078175e-06
53750;49;2.68967e-06
54750;53;2.716545e-06
55750;57;2.833865e-06
56750;54;3.049805e-06
57750;54;2.94257e-06
58750;54;3.19822e-06
59750;55;3.2487e-06
60750;55;2.828645e-06
61750;58;2.52785e-06
62750;53;2.2988e-06
63750;60;3.252755e-06
64750;60;3.2242e-06
65750;60;3.234525e-06
66750;60;3.22783e-06
67750;60;3.1914e-06
68750;60;3.22214e-06
69750;60;3.24942e-06
70750;60;3.231175e-06
71750;60;3.2803e-06
72750;60;3.27694e-06
73750;60;3.28256e-06
74750;60;3.282285e-06
75750;60;3.280655e-06
76750;60;3.282315e-06
77750;60;3.27863e-06
78750;60;3.27796e-06
79750;60;3.27771e-06
80750;60;3.276605e-06
81750;60;3.274445e-06
82750;60;3.27752e-06
83750;60;3.274365e-06
84750;60;3.27832e-06
85750;60;3.271315e-06
86750;60;3.27318e-06
87750;60;3.281815e-06
88750;60;3.281385e-06
89750;60;3.28e-06
90750;60;3.282335e-06
91750;60;3.28101e-06
92750;60;3.28011e-06
93750;60;3.275765e-06
94750;60;3.278985e-06
95750;60;3.282455e-06
96750;60;3.279505e-06
97750;60;3.280825e-06
98750;60;3.280035e-06
99750;60;3.281355e-06
100750;60;3.279875e-06
101750;60;3.28208e-06
102750;60;3.278665e-06
103750;60;3.2822e-06
104750;60;3.28331e-06
105750;60;3.281845e-06
106750;60;3.281615e-06
107750;60;3.28234e-06
108750;60;3.28292e-06
109750;60;3.281475e-06
110750;60;3.28315e-06
111750;60;3.280015e-06
112750;60;3.282595e-06
113750;60;3.281415e-06
114750;60;3.278305e-06
115750;60;3.28015e-06
116750;60;3.281965e-06
117750;60;3.281845e-06
118750;60;3.28325e-06
119750;60;3.282205e-06
120750;60;3.28224e-06
121750;60;3.283415e-06
122750;60;3.28163e-06
123750;60;3.280665e-06
124750;60;3.2836e-06
125750;60;3.282505e-06
126750;60;3.28338e-06
127750;60;3.28322e-06
128750;60;3.28293e-06
129750;60;3.283435e-06
130750;60;3.28347e-06
131750;60;3.283345e-06
132750;60;3.28279e-06
133750;60;3.28276e-06
134750;60;3.282995e-06
135750;60;3.282795e-06
136750;60;3.2833e-06
137750;60;3.281705e-06
138750;60;3.28345e-06
139750;60;3.28331e-06
140750;60;3.28341e-06
141750;60;3.283185e-06
142750;60;3.28338e-06
143750;60;3.283345e-06
144750;60;3.28259e-06
145750;60;3.30682e-06
146750;60;3.282475e-06
147750;60;3.621195e-06
148750;62;3.730175e-06
149750;62;3.69428e-06
150750;65;3.666675e-06
151750;62;3.276995e-06
152750;62;3.73089e-06
153750;59;3.28338e-06
154750;59;3.283355e-06
155750;59;3.283595e-06
156750;59;3.283455e-06
157750;59;3.28359e-06
158750;59;3.405875e-06
159750;58;3.511e-06
160750;56;3.08158e-06
161750;55;2.575765e-06
162750;56;2.60672e-06
163750;55;2.527735e-06
164750;59;3.18323e-06
165750;59;3.233945e-06
166750;59;2.844165e-06
167750;55;1.6418e-06
168750;55;1.64175e-06
169750;55;1.64153e-06
170750;55;1.64064e-06
171750;55;1.638025e-06
172750;55;1.63637e-06
173750;55;1.63373e-06
174750;55;1.62999e-06
175750;55;1.627095e-06
176750;55;1.6228e-06
177750;55;1.62049e-06
178750;55;1.61234e-06
179750;55;1.60026e-06
180750;55;1.591575e-06
181750;55;1.577495e-06
182750;55;1.572035e-06
183750;55;1.53981e-06
184750;55;1.514705e-06
185750;55;1.4958e-06
186750;55;1.404165e-06
187750;54;1.223085e-06
188750;53;1.1973e-06
189750;53;1.195955e-06
190750;53;8.58276e-07
191500;43;-3.15176e-07
